draft_id,draft
1,"[56, 80, 161, 168, 90]"
2,"[109, 139, 13, 116, 107]"
3,"[1, 150, 9, 57, 91]"
4,"[6, 159, 97, 145, 5]"
5,"[43, 71, 133, 10, 17]"
6,"[109, 150, 37, 25, 5]"
7,"[1, 51, 113, 145, 107]"
8,"[112, 125, 97, 163, 15]"
9,"[109, 151, 9, 57, 107]"
10,"[43, 150, 168, 33, 5]"
11,"[37, 156, 152, 163, 59]"
12,"[1, 159, 9, 55, 72]"
13,"[6, 139, 3, 116, 19]"
14,"[56, 80, 161, 168, 100]"
15,"[109, 51, 152, 25, 90]"
16,"[112, 125, 14, 145, 5]"
17,"[43, 51, 133, 55, 107]"
18,"[109, 96, 113, 25, 91]"
19,"[123, 159, 14, 54, 100]"
20,"[109, 159, 168, 57, 104]"
21,"[112, 156, 14, 25, 91]"
22,"[1, 150, 13, 55, 5]"
23,"[112, 156, 152, 163, 107]"
24,"[24, 139, 152, 124, 91]"
25,"[123, 51, 14, 54, 15]"
26,"[43, 159, 9, 25, 107]"
27,"[162, 156, 46, 157, 104]"
28,"[109, 159, 133, 57, 90]"
29,"[112, 150, 37, 33, 15]"
30,"[112, 125, 133, 75, 5]"
31,"[43, 159, 113, 157, 104]"
32,"[123, 100, 13, 55, 72]"
33,"[43, 156, 9, 163, 108]"
34,"[109, 125, 14, 145, 107]"
35,"[109, 150, 13, 57, 5]"
36,"[43, 156, 14, 54, 104]"
37,"[13, 150, 37, 58, 91]"
38,"[6, 159, 9, 75, 19]"
39,"[56, 51, 152, 116, 90]"
40,"[112, 150, 133, 57, 107]"
41,"[41, 156, 113, 10, 19]"
42,"[112, 150, 133, 145, 104]"
43,"[52, 115, 14, 25, 107]"
44,"[129, 159, 9, 145, 104]"
45,"[123, 159, 9, 21, 11]"
46,"[111, 87, 2, 145, 90]"
47,"[53, 66, 37, 145, 90]"
48,"[112, 99, 133, 54, 100]"
49,"[109, 73, 9, 167, 90]"
50,"[53, 99, 152, 157, 104]"
51,"[43, 115, 2, 145, 91]"
52,"[98, 159, 2, 75, 83]"
53,"[6, 150, 133, 33, 5]"
54,"[92, 159, 133, 33, 72]"
55,"[112, 99, 138, 25, 5]"
56,"[112, 125, 130, 54, 100]"
57,"[92, 159, 14, 145, 91]"
58,"[48, 94, 14, 84, 107]"
59,"[123, 159, 2, 157, 104]"
60,"[112, 99, 133, 33, 90]"
61,"[162, 125, 168, 75, 83]"
62,"[37, 87, 133, 84, 5]"
63,"[156, 87, 152, 54, 90]"
64,"[40, 73, 161, 84, 100]"
65,"[112, 159, 133, 11, 19]"
66,"[6, 73, 53, 58, 5]"
67,"[43, 151, 133, 145, 90]"
68,"[13, 150, 2, 25, 72]"
69,"[123, 73, 168, 145, 107]"
70,"[109, 94, 97, 55, 50]"
71,"[112, 80, 161, 84, 90]"
72,"[92, 159, 14, 25, 19]"
73,"[123, 73, 161, 168, 99]"
74,"[109, 115, 130, 58, 5]"
75,"[112, 159, 14, 54, 107]"
76,"[1, 159, 113, 145, 72]"
77,"[43, 115, 25, 54, 5]"
78,"[112, 115, 25, 75, 83]"
79,"[109, 125, 14, 145, 5]"
80,"[40, 87, 113, 84, 15]"
81,"[53, 99, 133, 58, 90]"
82,"[40, 87, 14, 84, 104]"
83,"[1, 115, 161, 145, 91]"
84,"[112, 125, 53, 57, 107]"
85,"[123, 150, 130, 58, 108]"
86,"[53, 150, 2, 33, 104]"
87,"[37, 87, 14, 57, 91]"
88,"[6, 150, 14, 33, 5]"
89,"[56, 159, 14, 145, 90]"
90,"[37, 159, 113, 84, 104]"
91,"[123, 87, 152, 145, 90]"
92,"[6, 150, 14, 33, 15]"
93,"[112, 125, 23, 145, 5]"
94,"[40, 150, 13, 57, 104]"
95,"[56, 125, 14, 11, 108]"
96,"[39, 73, 161, 33, 72]"
97,"[56, 125, 13, 25, 15]"
98,"[56, 156, 3, 33, 5]"
99,"[112, 159, 133, 145, 90]"
100,"[52, 171, 6, 25, 100]"
101,"[144, 49, 152, 11, 90]"
102,"[112, 115, 161, 54, 5]"
103,"[56, 171, 23, 25, 107]"
104,"[56, 156, 152, 57, 31]"
105,"[109, 159, 14, 145, 99]"
106,"[112, 150, 13, 25, 90]"
107,"[80, 71, 161, 168, 17]"
108,"[56, 156, 13, 57, 90]"
109,"[53, 49, 6, 145, 107]"
110,"[144, 151, 2, 145, 104]"
111,"[6, 80, 14, 21, 107]"
112,"[56, 150, 13, 33, 99]"
113,"[13, 94, 97, 33, 72]"
114,"[112, 115, 161, 58, 116]"
115,"[112, 156, 97, 55, 19]"
116,"[53, 150, 14, 33, 31]"
117,"[100, 150, 2, 145, 104]"
118,"[6, 94, 97, 84, 107]"
119,"[56, 150, 152, 21, 80]"
120,"[52, 125, 46, 145, 72]"
121,"[56, 51, 46, 58, 108]"
122,"[24, 94, 133, 25, 90]"
123,"[123, 159, 113, 126, 104]"
124,"[6, 80, 161, 33, 59]"
125,"[109, 115, 14, 57, 91]"
126,"[37, 80, 161, 33, 59]"
127,"[1, 125, 14, 57, 91]"
128,"[109, 100, 133, 168, 107]"
129,"[53, 87, 70, 124, 19]"
130,"[52, 156, 133, 57, 104]"
131,"[123, 159, 91, 10, 76]"
132,"[112, 139, 14, 116, 90]"
133,"[41, 71, 138, 168, 72]"
134,"[120, 87, 152, 69, 19]"
135,"[109, 139, 14, 57, 90]"
136,"[43, 80, 25, 75, 83]"
137,"[24, 159, 23, 145, 5]"
138,"[98, 28, 152, 145, 91]"
139,"[109, 115, 14, 157, 104]"
140,"[43, 87, 133, 54, 72]"
141,"[40, 73, 25, 75, 83]"
142,"[109, 150, 168, 116, 90]"
143,"[1, 80, 53, 124, 91]"
144,"[98, 159, 133, 58, 108]"
145,"[162, 94, 91, 167, 72]"
146,"[37, 159, 2, 126, 19]"
147,"[109, 150, 14, 145, 107]"
148,"[123, 28, 97, 157, 104]"
149,"[162, 125, 14, 33, 72]"
150,"[98, 99, 37, 145, 5]"
151,"[22, 125, 14, 124, 72]"
152,"[39, 94, 113, 10, 19]"
153,"[123, 51, 37, 157, 15]"
154,"[112, 156, 3, 25, 104]"
155,"[53, 80, 14, 116, 19]"
156,"[123, 159, 152, 157, 104]"
157,"[6, 115, 13, 54, 100]"
158,"[162, 156, 161, 168, 90]"
159,"[56, 80, 97, 75, 108]"
160,"[122, 159, 133, 54, 15]"
161,"[112, 139, 23, 25, 91]"
162,"[40, 106, 113, 57, 91]"
163,"[52, 115, 70, 33, 59]"
164,"[24, 150, 23, 124, 104]"
165,"[123, 71, 97, 75, 107]"
166,"[37, 156, 133, 163, 15]"
167,"[6, 139, 2, 75, 15]"
168,"[56, 156, 79, 10, 137]"
169,"[112, 150, 168, 57, 5]"
170,"[13, 125, 37, 54, 5]"
171,"[123, 139, 9, 163, 108]"
172,"[123, 159, 133, 157, 104]"
173,"[98, 139, 97, 57, 91]"
174,"[109, 94, 2, 57, 72]"
175,"[6, 80, 161, 33, 5]"
176,"[52, 156, 97, 163, 104]"
177,"[52, 115, 97, 75, 88]"
178,"[56, 125, 152, 163, 91]"
179,"[43, 139, 9, 25, 107]"
180,"[68, 156, 2, 163, 15]"
181,"[6, 150, 97, 124, 91]"
182,"[56, 159, 113, 10, 137]"
183,"[6, 139, 37, 25, 90]"
184,"[41, 150, 133, 54, 5]"
185,"[56, 159, 133, 25, 15]"
186,"[112, 115, 161, 33, 91]"
187,"[112, 51, 152, 33, 107]"
188,"[43, 125, 133, 25, 5]"
189,"[109, 156, 9, 33, 5]"
190,"[123, 139, 97, 75, 19]"
191,"[109, 125, 97, 116, 107]"
192,"[123, 139, 14, 124, 5]"
193,"[112, 80, 161, 33, 19]"
194,"[123, 156, 13, 124, 5]"
195,"[1, 139, 152, 58, 108]"
196,"[6, 99, 133, 168, 72]"
197,"[123, 151, 91, 33, 107]"
198,"[113, 159, 2, 57, 5]"
199,"[56, 96, 113, 84, 19]"
200,"[112, 80, 25, 54, 107]"
201,"[52, 159, 133, 33, 5]"
202,"[109, 99, 130, 57, 91]"
203,"[154, 87, 9, 54, 112]"
204,"[53, 125, 2, 11, 19]"
205,"[6, 80, 161, 58, 108]"
206,"[37, 99, 133, 124, 5]"
207,"[53, 115, 152, 33, 104]"
208,"[40, 80, 158, 75, 83]"
209,"[109, 92, 161, 126, 5]"
210,"[43, 87, 152, 54, 72]"
211,"[40, 73, 13, 25, 90]"
212,"[112, 99, 14, 33, 100]"
213,"[22, 125, 46, 124, 5]"
