team_id,ally_draft,enemy_draft
4,"[123, 140, 131, 157, 104]","[40, 125, 46, 25, 72]"
4,"[6, 139, 113, 57, 107]","[1, 150, 37, 33, 19]"
4,"[112, 100, 133, 116, 5]","[13, 159, 9, 75, 88]"
4,"[109, 115, 152, 163, 15]","[56, 156, 97, 145, 90]"
3,"[38, 100, 133, 145, 90]","[109, 115, 113, 124, 108]"
3,"[123, 151, 9, 163, 17]","[56, 139, 13, 25, 104]"
3,"[37, 156, 168, 75, 5]","[112, 159, 97, 54, 91]"
6,"[106, 171, 167, 116, 72]","[40, 51, 23, 84, 104]"
6,"[162, 159, 46, 54, 5]","[52, 130, 152, 75, 19]"
6,"[1, 125, 113, 126, 17]","[123, 100, 8, 33, 107]"
1,"[43, 150, 37, 57, 90]","[109, 139, 97, 157, 91]"
6,"[6, 156, 14, 25, 15]","[112, 115, 161, 145, 59]"
5,"[40, 125, 46, 25, 72]","[123, 140, 131, 157, 104]"
5,"[1, 150, 37, 33, 19]","[6, 139, 113, 57, 107]"
5,"[13, 159, 9, 75, 88]","[112, 100, 133, 116, 5]"
5,"[56, 156, 97, 145, 90]","[109, 115, 152, 163, 15]"
8,"[109, 115, 113, 124, 108]","[38, 100, 133, 145, 90]"
8,"[56, 139, 13, 25, 104]","[123, 151, 9, 163, 17]"
8,"[112, 159, 97, 54, 91]","[37, 156, 168, 75, 5]"
1,"[40, 51, 23, 84, 104]","[106, 171, 167, 116, 72]"
1,"[52, 130, 152, 75, 19]","[162, 159, 46, 54, 5]"
1,"[123, 100, 8, 33, 107]","[1, 125, 113, 126, 17]"
6,"[109, 139, 97, 157, 91]","[43, 150, 37, 57, 90]"
1,"[112, 115, 161, 145, 59]","[6, 156, 14, 25, 15]"


