team_id,name
1,Disguised
2,Dignitas
3,Team Liquid
4,FlyQuest
5,Shopify Rebellion
6,Cloud9
7,LYON
8,100 Thieves
9,Fnatic
10,Karmine Corp
11,G2 Esports
12,Movistar KOI
13,Team Vitality
14,GIANTX
15,Team BDS
16,Team Heretics
17,SK Gaming
18,Rogue
19,Natus Vincere
20,T1
21,Hanwha Life Esports
22,OKSavingsBank BRION
23,DN Freecs
24,BNK FEARX
25,Dplus KIA
26,Gen.G
27,KT Rolster
28,DRX
29,Nongshim RedForce
30,Anyone's Legend
31,Top Esports
32,LGD Gaming
33,Team WE
34,JD Gaming
35,Weibo Gaming
36,Oh My God
37,Ultra Prime
38,ThunderTalk Gaming
39,Bilibili Gaming
40,EDward Gaming
41,LNG Esports
42,Ninjas in Pyjamas.CN
43,Invictus Gaming
44,Royal Never Give Up
45,FunPlus Phoenix
