21,"[22, 150, 2, 157, 41]","[65, 99, 37, 29, 108]",1
10,"[38, 115, 152, 54, 107]","[52, 159, 130, 11, 118]",0
21,"[40, 125, 13, 145, 19]","[1, 49, 46, 33, 72]",1
21,"[112, 156, 14, 57, 5]","[53, 80, 133, 84, 104]",0
31,"[6, 99, 13, 25, 15]","[52, 80, 153, 54, 17]",0
31,"[109, 159, 130, 145, 90]","[1, 150, 3, 11, 107]",0
21,"[112, 156, 14, 33, 5]","[53, 115, 161, 84, 104]",1
10,"[52, 80, 25, 93, 116]","[38, 125, 97, 167, 164]",1
47,"[98, 94, 3, 58, 108]","[40, 156, 13, 21, 59]",1
10,"[6, 150, 46, 54, 101]","[109, 92, 138, 11, 137]",0
47,"[41, 67, 37, 33, 90]","[1, 99, 133, 57, 107]",0
47,"[112, 159, 14, 124, 5]","[53, 115, 161, 145, 72]",0
21,"[6, 125, 61, 124, 19]","[52, 49, 152, 33, 72]",1
3,"[109, 80, 23, 145, 104]","[103, 171, 138, 54, 107]",1
3,"[56, 99, 168, 58, 108]","[63, 150, 113, 29, 101]",0
31,"[112, 159, 130, 25, 100]","[123, 125, 14, 21, 90]",0
47,"[53, 115, 133, 33, 5]","[56, 92, 161, 54, 72]",1
21,"[153, 156, 53, 57, 107]","[123, 115, 113, 29, 104]",1
10,"[6, 49, 14, 54, 5]","[40, 80, 25, 11, 108]",1
10,"[112, 159, 133, 33, 72]","[13, 150, 130, 145, 100]",0
3,"[52, 115, 25, 168, 100]","[38, 80, 161, 138, 72]",0
3,"[43, 150, 133, 57, 104]","[56, 159, 14, 33, 5]",0
31,"[40, 60, 25, 145, 107]","[1, 49, 161, 33, 72]",0
31,"[6, 151, 13, 58, 108]","[53, 125, 133, 11, 59]",0
47,"[41, 67, 133, 25, 72]","[153, 92, 166, 84, 107]",0
21,"[112, 150, 161, 11, 104]","[59, 156, 14, 33, 5]",1
3,"[56, 80, 46, 58, 90]","[1, 99, 130, 145, 91]",0
31,"[112, 150, 13, 11, 19]","[37, 159, 138, 33, 104]",1
10,"[53, 18, 161, 145, 90]","[123, 115, 133, 84, 107]",0
47,"[112, 125, 152, 33, 72]","[6, 150, 13, 57, 104]",1
31,"[41, 94, 97, 58, 108]","[1, 92, 3, 145, 100]",0
21,"[52, 125, 14, 33, 5]","[65, 150, 13, 84, 72]",1
3,"[56, 94, 133, 75, 88]","[40, 159, 2, 167, 164]",1
10,"[22, 115, 14, 84, 72]","[6, 125, 12, 11, 99]",1
10,"[53, 150, 13, 33, 107]","[98, 80, 138, 145, 90]",0
10,"[65, 99, 37, 29, 108]","[22, 150, 2, 157, 41]",0
21,"[52, 159, 130, 11, 118]","[38, 115, 152, 54, 107]",1
10,"[1, 49, 46, 33, 72]","[40, 125, 13, 145, 19]",0
10,"[53, 80, 133, 84, 104]","[112, 156, 14, 57, 5]",1
21,"[52, 80, 153, 54, 17]","[6, 99, 13, 25, 15]",1
21,"[1, 150, 3, 11, 107]","[109, 159, 130, 145, 90]",1
31,"[53, 115, 161, 84, 104]","[112, 156, 14, 33, 5]",0
47,"[38, 125, 97, 167, 164]","[52, 80, 25, 93, 116]",0
10,"[40, 156, 13, 21, 59]","[98, 94, 3, 58, 108]",0
47,"[109, 92, 138, 11, 137]","[6, 150, 46, 54, 101]",1
10,"[1, 99, 133, 57, 107]","[41, 67, 37, 33, 90]",1
10,"[53, 115, 161, 145, 72]","[112, 159, 14, 124, 5]",1
3,"[52, 49, 152, 33, 72]","[6, 125, 61, 124, 19]",0
21,"[103, 171, 138, 54, 107]","[109, 80, 23, 145, 104]",0
21,"[63, 150, 113, 29, 101]","[56, 99, 168, 58, 108]",1
47,"[123, 125, 14, 21, 90]","[112, 159, 130, 25, 100]",1
31,"[56, 92, 161, 54, 72]","[53, 115, 133, 33, 5]",0
10,"[123, 115, 113, 29, 104]","[153, 156, 53, 57, 107]",0
21,"[40, 80, 25, 11, 108]","[6, 49, 14, 54, 5]",0
21,"[13, 150, 130, 145, 100]","[112, 159, 133, 33, 72]",1
47,"[38, 80, 161, 138, 72]","[52, 115, 25, 168, 100]",1
47,"[56, 159, 14, 33, 5]","[43, 150, 133, 57, 104]",1
10,"[1, 49, 161, 33, 72]","[40, 60, 25, 145, 107]",1
10,"[53, 125, 133, 11, 59]","[6, 151, 13, 58, 108]",1
21,"[153, 92, 166, 84, 107]","[41, 67, 133, 25, 72]",1
47,"[59, 156, 14, 33, 5]","[112, 150, 161, 11, 104]",0
31,"[1, 99, 130, 145, 91]","[56, 80, 46, 58, 90]",1
3,"[37, 159, 138, 33, 104]","[112, 150, 13, 11, 19]",0
47,"[123, 115, 133, 84, 107]","[53, 18, 161, 145, 90]",1
10,"[6, 150, 13, 57, 104]","[112, 125, 152, 33, 72]",0
21,"[1, 92, 3, 145, 100]","[41, 94, 97, 58, 108]",1
31,"[65, 150, 13, 84, 72]","[52, 125, 14, 33, 5]",0
10,"[40, 159, 2, 167, 164]","[56, 94, 133, 75, 88]",0
3,"[6, 125, 12, 11, 99]","[22, 115, 14, 84, 72]",0
3,"[98, 80, 138, 145, 90]","[53, 150, 13, 33, 107]",1
